"enter_phone_number_screen_open","When the user lands on enter phone number screen. For android → This screen will open up with popup. both are considered as different events"
"enter_phone_number_screen_popup_opened","When the phone number popup is show in android"
"enter_phone_number_screen_continue_clicked","When user clicks continue button on phone number entry screen after entering/selecting phone number. Triggered from EnterMobileFragmentV2.onMobileNumberSubmit() -> EnterMobileViewModelV2.initPhoneVerification() after API response. Implementation: EnterMobileViewModelV2.trackPhoneScreenContinueClicked() -> EventTrackingUtils.trackPhoneScreenContinueClicked() with ENTER_PHONE_NUMBER_SCREEN_CONTINUE_CLICKED. Properties: flow ('login_sign_up'), phone_number_selected ('prefilled' if auto-filled from saved data, 'manual' if user typed), mobile_data ('active'/'inactive' based on mobile data state), phone_permission_given (boolean), sms_permission_given (boolean), success (boolean - true for successful API response), error (error code when success=false), error_message (error details when success=false). Event Type: CTA. Fires in 3 scenarios: Success (API success), Error (API failure with error code/message), Exception (API exception with throwable message). Tracks phone verification initiation result."
"phone_number_submitted","When the user clicks on continue from phone number screen, When the user clicks on any of the phone number from the popup and BE validates the phone number, success indicates the number is validated, error message should display the error message shown to the user"
"smv_verification_initiated","When SMV is initiated for the user and it is counted as an attempt. Properties: flow"
"smv_polling_started","Event should get triggered when we send request"
"smv_verification_completed","Event should be triggered when we get a response for SMV"
"sim_selection_step","When SBP is called and we check dual SIM or show no SIM error. Triggered during device binding flow when SIM detection/selection is needed. Implementation: BindingSetupEventTracking.trackSimSelectionStep() using BindingEventsConstants.SIM_SELECTION_STEP. Properties: skip (boolean), no_sim_found (boolean), num_sims (count), carrier_1 (carrier name), carrier_2 (carrier name), is_phone_available_1 (boolean), is_phone_available_2 (boolean), flow (binding flow), is_sim_binding_skipped (boolean), initiation_reason (trigger reason). Event Type: TRACK. Captures device SIM state and selection requirements during binding process."
"sim_selection_select","When user selects SIM in dual SIM scenario or iOS bottomsheet. Triggered from BindingSelectSimBottomSheet.handleEffects() when user makes SIM selection. Implementation: BindingEventsConstants.Name.SIM_SELECTION_SELECT.trackEvent(). Properties: flow (binding flow), sim_selected (1/2 based on selected SIM), sim_auto_checked (boolean for auto-selection). Event Type: TRACK. Captures user SIM selection decision."
"sim_binding_veryfing_screen_opened","When user lands on SIM binding verification screen. Triggered from BindingSetupFragment.onCreate() during SIM binding flow initialization. Implementation: BindingSetupViewModel.trackSimBindingVerificationScreen() -> BindingSetupEventTracking.trackSimBindingVerifyingScreenOpened() using SIM_BINDING_VERIFYING_SCREEN_OPEN. Properties: flow (binding flow). Event Type: SCREEN. Tracks SIM binding verification screen entry."
"sim_binding_sms_tray_open","When the user lands on send sms screen on ios"
"sim_binding_request","When SIM binding API request is made by frontend. Triggered from BindingSetupViewModel.makeBindDeviceRequestCall() when generating product list from product data. Implementation: BindingSetupEventTracking.trackSimBindingRequest() using SIM_BINDING_REQUEST. Properties: product (binding product like UPI/MINI), flow (binding flow), reinitiate (boolean), is_auto_retry (boolean), is_show_error (boolean), is_sim_binding_skipped (boolean), reason (optional reason). Event Type: TRACK. Fires multiple times for multiple products. Core SIM binding API initiation tracking."
"sim_binding_token_recieved","When UID BE receives the token and VMN information that needs to be sent to the FE. In case of parallel sim binding this event needs to be called for each product/SMS group separately. Properties: source, duration, token_length, vmn_total, vmn_carrier, vmn_number, success, initiation_reason"
"sim_binding_sms_sent","When SMS sent confirmation is received. Triggered from BindingSetupFragment.onSendSmsSuccessful() after SMS sending verification. Implementation: BindingSetupViewModel.checkAndUpdateSmsSuccessStatus() -> BindingSetupEventTracking.trackSimBindingMsgSent() using SIM_BINDING_SMS_SENT. Properties: product (binding product), duration (time since SMS start), is_mandatory (boolean), vmn_total (total VMN count), vmn_sent (sent VMN count), flow (binding flow), is_sent_check_possible (boolean), is_from_fallback_otp (boolean for OTP fallback). Event Type: TRACK. Tracks successful SMS transmission confirmation. If this event is missing in users jouney then it mean that user's device is not able send SMS, maybe because of an expired sms pack"
"sim_binding_polling_start","When SIM binding status polling begins. Triggered from BindingSetupViewModel.startBindStatusCheck() -> logPollingStart(). Implementation: BindingSetupEventTracking.trackSimBindingPollingStart() using SIM_BINDING_POLLING_START. Properties: duration (time since request start), product (list of binding products), mandatory (mandatory products list), optional (optional products list), flow (binding flow). Event Type: TRACK. Initiates status polling for SIM binding completion verification."
"sim_binding_sms_delivered","When SMS delivery confirmation received (Android only). Triggered from BindingSetupFragment.onDeliveredSmsSuccessful() when delivery receipt is received. Implementation: BindingSetupViewModel.triggerDeliveredEvent() -> BindingSetupEventTracking.trackSimBindingMsgDelivered() using SIM_BINDING_MSG_DELIVERED. Properties: product (binding product), duration (time since SMS start), is_mandatory (boolean), vmn_total (total VMN count), vmn_delivered (delivered count), flow (binding flow). Event Type: TRACK. Android-specific SMS delivery confirmation tracking."
"sim_binding_terminal_state","When SIM binding reaches terminal state (success/failure). Triggered from BindingSetupViewModel.triggerPollingTerminateEvent() when product reaches final status. Implementation: BindingSetupEventTracking.trackSimBindingTerminalState() using SIM_BINDING_TERMINAL_STATE. Properties: duration (total time from request start), product (binding product), is_mandatory (boolean), response (success/failed status), failure_reason (error details if failed), flow (binding flow), is_sim_binding_skipped (boolean), remaining_attempts (retry count). Event Type: TRACK. Captures final SIM binding outcome for each product."
"otp_page_opened","When user lands on OTP verification screen across multiple flows (mobile/email/MPIN verification). Triggered from fragment onViewCreated() lifecycle method. Implementation: Auth: OtpValidateFragment.onViewCreated() -> OtpValidateViewModel.trackOtpPageOpened() with AuthEvents.OTP_PAGE_OPENED. MPIN: Uses MpinEventsConstants.MPIN_OTP_PAGE_OPENED. Borrow: Uses BorrowAnalyticsHelper.EVENT_OTP_PAGE_OPENED. Properties: type (analytics type from source), flow (analytics flow from source), source (originating screen/context). Event Type: PAGE_OPEN. Universal OTP entry tracking across all product flows."
"otp_delivered","when otp is delivered to the customer"
"otp_entered","When the user enters 4 digits of OTP and we get a validation response"
"otp_validated","When BE validates the entered OTP"
"otp_page_resend_clicked","When the user clicks on resend in OTP screen"
"phone_verification_complete","When we have validated the phone number"
"email_verification_screen_opened","When the user lands on email verification screen, This is coupled with below event where we auto open google popup"
"google_account_popup_opened","When google account popup is opened"
"google_account_popup_dismissed","When the google account pop up is dismissed"
"continue_with_google_mail_clicked","When the user clicks on continue with google in email_verification screen"
"email_submitted","When the user manually enters email and clicks on the go ahead arrow or When the user selects prefilled google account from the popup"
"email_validated","When BE sends validation response to email verification"
"duplicate_email_bottomsheet_opened","When the duplicate email pop up is shown post continuing on email"
"duplicate_email_bottomsheet_cta_clicked","When the user clicks on update email cta or login using different phone number"
"confirm_name_page_opened","When the user lands on name page"
"invite_code_apply_clicked","When the user clicks on invite_code_apply"
"confirm_name_continue_clicked","When the user clicks on continue in name page"
"mpin_screen_opened","When user lands on MPIN screen across different flows (set/change/verify during login). Triggered from MPIN UI components during screen initialization. Implementation: MpinEventTracking.trackMpinSetScreenOpened(), trackMpinVerifyScreenOpened(), etc. using MpinEventsConstants.MPIN_SCREEN_OPENED. Properties: flow (mpin_flow_type like set/verify/change), screen (set/verify context). Event Type: PAGE_OPEN. Tracks MPIN interaction entry points across all scenarios."
"login_with_biometric_cta_clicked","When the user clicks on Login with touchID/Face ID"
"mpin_screen_mpin_entered","When user enters MPIN digits. Triggered after user completes MPIN input. Implementation: MpinEventTracking.trackMpinSetScreenEntered() using MpinEventsConstants.MPIN_SCREEN_MPIN_ENTERED. Properties: flow (mpin_flow), screen (set/verify). Event Type: TRACK. Captures MPIN input completion across set and verify flows."
"mpin_validated","When BE validates the entered MPIN"
"mpin_verify_forgot_mpin_clicked","when the user clicks on forgot mpin from mpin verify screen"
"mpin_reset_card_details_page_opened","When the user lands on mpin reset card details page"
"mpin_reset_card_details_page_continue_clicked","when the user fills card details and clicks continue on reset mpin card details page"
"mpin_reset_card_details_page_selfie_clicked","when the user clicks on lost card from mpin reset card details page"
"mpin_reset_selfie_bottomsheet_opened","When the selfie bottom sheet opens up on mpin reset flow"
"mpin_selfie_bottomsheet_continue_clicked","When the user clicks on continue from selfie bottom sheet"
"selfie_page_opened","When selfie capture page opens in MPIN reset flow. Implementation: MpinEventTracking using MpinEventsConstants.MPIN_SELFIE_PAGE_OPENED. Used specifically for MPIN reset via selfie verification. Properties: flow (mpin_reset), selfie_context. Event Type: PAGE_OPEN. Part of alternative MPIN recovery flow."
"selfie_captured_page_confirm","When the user clicks on selfie capture"
"mpin_reset_waiting_page_opened","When the user selfie is validated by KYC ops"
"mpin_verify_not_you_clicked","when the user clicks on not you from mpin verify page"
"mpin_verify_not_you_bottomsheet_opened","when the not you bottomsheet opens up"
"mpin_verify_not_you_bottomsheet_cta_clicked","when the user clicks on any cta in not you bottomsheet"
"op_back","when the user clicks press system back during signup or login flow"
"exit_bottomsheet_opened","When the exit bottomsheet opens up"
"exit_bottomsheet_cta_clicked","When the user clicks on exit bottom sheet cta"
"sim_selection_cta","When user clicks Confirm CTA in SIM selection bottomsheet. Only fires if bottomsheet is shown. Properties: flow (binding flow), initiation_reason (phone_verification). Event Type: TRACK. SIM selection confirmation tracking."
"ios_bottomsheet_opened","When the iOS bottomsheet opens telling the user that they need to send a message. Properties: flow, initiation_reason"
"ios_bottomsheet_cta_clicked","When the user clicks on the CTA on the bottomsheet. Properties: flow, initiation_reason"
"sim_binding_initiation","When UID BE sends the information to UID FE about the various products for which Sim Binding needs to be done. Properties: source, product, mandatory, optional, initiation_reason"
"ios_sms_controller_opened","When the SMS controller is opened for the user on iOS to send the message. In case of multiple SMSs, this needs to be triggered multiple times. Properties: flow, product, vmn_total, is_mandatory, initiation_reason"
"ios_sms_controller_closed","When the control comes back from the message controller. In case of multiple SMSs this will be triggered multiple times. Properties: flow, product, duration, success, is_mandatory, initiation_reason"
"sim_binding_error_screen_opened","When SIM binding error screen is displayed. Triggered from BindingSetupFragment.showBindingErrorUi() when SIM binding encounters errors. Implementation: BindingSetupViewModel.triggerSimBindingErrorScreen() -> BindingSetupEventTracking.trackSimBindingErrorScreen() using SIM_BINDING_ERROR_SCREEN. Properties: error_reason (specific error code like GENERIC_ERROR, RATE_LIMIT_ERROR, THREAT_DETECTED), flow (binding flow). Event Type: TRACK. Captures SIM binding error scenarios and their reasons."
"sim_binding_response","When UID BE gets a successful response from the VMN for the sim binding of the specific user OR if there is a reason for SBP to fail the SB. In case of parallel sim binding, this event will be triggered multiple times for multiple products. Properties: response, response_source, failure_reason, product, is_sim_binding_skipped, remaining_attempts, is_mandatory, initiation_reason"
"sim_binding_invalidated","Whenever the sim binding is invalidated. Either because of FE invalidate reasons OR because calling party invalidates an existing sim binding because the current sim binding is not valid (device parameters not matched). Properties: product, invalidate_reason, initiation_reason"
"sim_binding_cache_enhancement_bottomsheet_opened","When the sim binding back end call is not allowed as the FE caching says that there has been 3 unsuccessful attempts of sim binding. Properties: is_valid - true/false"
"sim_binding_otp_triggered","When OTP is triggered by BE for sim binding."
"sim_binding_otp_read","When SIM binding OTP is read by device. Triggered from SendCheckOTPListener when OTP SMS is received during SIM binding. Implementation: BindingSetupViewModel.handleFallbackOTP() -> BindingSetupEventTracking.trackSimBindingOTPRead() using SIM_BINDING_OTP_READ. Properties: sender (SMS sender address), segments (number of SMS segments), is_otp_found (boolean if OTP was extracted), product_hash (product hash for validation). Event Type: TRACK. Captures OTP detection during SIM binding fallback flow. If this event is missing in the user jouney then it means that users device is not receiving the OTP needed for sim binding completion"
"sim_binding_otp_validated","When SIM binding OTP is validated by FE using BE API. Triggered from BindingSetupViewModel.handleFallbackOTP() after OTP validation API call. Implementation: BindingSetupEventTracking.trackSimBindingOTPValidated() using SIM_BINDING_OTP_VALIDATED. Properties: is_valid (boolean validation result), failure_reason (error message if validation failed), error_code (API error code if failed). Event Type: TRACK. Captures OTP validation results during SIM binding."
"sim_binding_threat_detected","When SIM binding security threat is detected. Triggered from BindingSetupViewModel.isThreatDetected() when security checks identify threats. Implementation: BindingSetupEventTracking.trackSimBindingThreatDetected() using SIM_BINDING_THREAT_DETECTED. Properties: action (threat action like 'block'/'log'), threat_name (threat identifier), threat_code (numeric threat code). Event Type: TRACK. Security monitoring for SIM binding process."
"sim_binding_play_integrity_check_start","When Play Integrity check begins for SIM binding. Triggered from BindingSetupViewModel.startPlayProtectCheck() before token generation. Implementation: BindingSetupEventTracking.trackPlayIntegrityCheckStart() using SIM_BINDING_PLAY_INTEGRITY_CHECK_START. Properties: None. Event Type: TRACK. Android Play Integrity security verification initiation."
"sim_binding_play_integrity_token_error","When Play Integrity token generation fails. Triggered from PlayProtectCheck when token generation encounters errors. Implementation: BindingSetupEventTracking.trackPlayIntegrityTokenError() using SIM_BINDING_PLAY_INTEGRITY_TOKEN_ERROR. Properties: error_reason (error message). Event Type: TRACK. Android security token generation failure tracking."
"sim_binding_play_integrity_token_generated","When Play Integrity token is successfully generated. Triggered from PlayProtectCheck after successful token creation. Implementation: BindingSetupEventTracking.trackPlayIntegrityTokenGenerated() using SIM_BINDING_PLAY_INTEGRITY_TOKEN_GENERATED. Properties: None. Event Type: TRACK. Android security token generation success tracking."
"sim_binding_play_integrity_check_complete","When Play Integrity check completes. Triggered from BindingSetupViewModel.startPlayProtectCheck() after API verification completes. Implementation: BindingSetupEventTracking.trackPlayIntegrityCheckComplete() using SIM_BINDING_PLAY_INTEGRITY_CHECK_COMPLETE. Properties: is_success (boolean result), error_code (API error code if failed), error_reason (error message if failed). Event Type: TRACK. Android Play Integrity verification completion tracking."
"sim_binding_sms_forwarding_detected","When SMS forwarding is detected during SIM binding. Triggered from BindingSetupViewModel.checkForSmsForwarding() when SMS forwarding is detected. Implementation: BindingSetupEventTracking.trackSmsForwardingDetected() using SIM_BINDING_SMS_FORWARDING_DETECTED. Properties: product (binding flow), flow (binding flow), forwarding_type (type of forwarding detected). Event Type: TRACK. SMS security monitoring during SIM binding."
"device_checksum_mismatch","When there is mismatch between the checksum sent by FE to the BE. Properties: error_reason"
"device_token_mismatch","When there is mismatch between the device token sent by FE to the BE. Properties: flow, error_reason"
"sim_binding_no_sim_found","When we are blocking sim binding/ txn when there is no sim in iOS device."
"sim_binding_status_checked","During txn, we are checking from where sim binding status was checked from, whether it was db or from cache. Properties: method"
"smv_terminal_state","When device verification is successful via SMV. Properties: response, failure reason, flow"
"smv_response","Response of BE for SMV. Properties: response, failure_reason, flow"
"sbp_attempt_increase","When sbp attempt count is increased by 1 as the attempt to do sbp was not meeting the pre-requisite. Properties: reason"
"smv_webhook_polling_response","When smv webhook polling is completed. Properties: response, flow"
"smv_status_polling_response","When smv status polling is completed. Properties: response, flow"
"app_permissions_page_opened","initiation_reason: phone_verification"
"app_permissions_page_lets_go_clicked","initiation_reason: phone_verification"
"app_permissions_page_deny_clicked","initiation_reason: phone_verification"
"permissions_deny_error_opened","initiation_reason: phone_verification"
"app_permissions_deny_dialogue_opened","initiation_reason: phone_verification"
"app_permissions_deny_dialogue_clicked","initiation_reason: phone_verification. Properties: cta_clicked: allow/deny"
"permissions_popup_allow_clicked", "initiation_reason: phone_verification"
"sim_binding_message_read","When any SMS message is received during SIM binding. Triggered from SendCheckOTPListener when SMS is received during binding process. Implementation: BindingSetupViewModel.trackSimBindingMessageReceived() -> BindingSetupEventTracking.trackSimBindingMessageRead() using SIM_BINDING_MESSAGE_READ. Properties: sender (SMS sender address), segments (number of SMS segments). Event Type: TRACK. General SMS reception tracking during SIM binding."
"sim_binding_sms_content_provider_check_failed","When SMS content provider sent check fails during SIM binding. Triggered from BindingSetupFragment.onSendSmsSuccessful() when sent check verification fails. Implementation: BindingSetupViewModel.triggerSentContentProviderSentCheckFailedEvent() -> BindingSetupEventTracking.trackSimBindingSmsContentProviderCheckFailedEvent() using SIM_BINDING_SMS_CONTENT_PROVIDER_CHECK_FAILED. Properties: product (binding product), duration (time since SMS start), is_mandatory (boolean), vmn_total (total VMN count), vmn_sent (sent VMN count), flow (binding flow). Event Type: TRACK. SMS delivery verification failure tracking."
"session_token_fetch_failed","When session token generation fails during user authentication flows. Triggered from SessionManagementRepository.onApiError() when generateUserSession() API call fails or throws exception. Implementation: AppSessionManagerEventTracker.trackSessionTokenFetchFailed() using SESSION_TOKEN_FETCH_FAILED. Properties: access_token_available (boolean if user has existing access token), retries (current retry count), source ('MPIN' or 'BIOMETRIC' based on AuthMode), status_code (HTTP error code, -1 for exceptions), error_message (API error message or exception message), ray_id (CloudFlare ray ID from headers), ip_address (device IP address). Event Type: TRACK. Triggers when: session creation during app startup (AuthMode.BIOMETRIC), MPIN verification flows (AuthMode.MPIN), or biometric authentication. Critical for session management debugging and monitoring authentication failures. If session token generation fails the user will not be able to load data in the app."
"fire_result_page_opened","Game result screen analytics event. Triggered when: 1) User completes Fire/Bonfire games in Rewards module, 2) Game result screen is displayed to user, 3) After getting leaderboard rank for Bonfire games. Properties: status (win/fail/leader), create_bonfire_cta (boolean), payment_type (fire/bonfire), cross_enabled (boolean), flow_type (source flow). Purpose: Track game completion rates, user engagement with results, effectiveness of different game types. Screens: GameResultFragment, GameResultViewModel.handleFireGameResult(). Scenarios: Regular Fire game completion, Bonfire game with leaderboard, retry scenarios after loss."
"monies_page_opened","Rewards/Cashback main page access event. Triggered when: 1) User opens Rewards tab from bottom navigation, 2) Direct navigation to cashback section, 3) Deep link access to rewards page. Properties: user_has_cashback (boolean), total_cashback_amount (string), has_pending_games (boolean), source (tab/deeplink/notification). Purpose: Track rewards engagement, measure cashback visibility impact, understand user interest in gaming features. Screens: MoniesFragment, RewardsHomeViewModel. Scenarios: Regular tab access, post-transaction rewards check, notification-driven access."
"game_started","Game initiation tracking event. Triggered when: 1) User clicks 'Play' button on Fire game, 2) Bonfire game session begins, 3) Mini-games within rewards are launched. Properties: game_type (fire/bonfire/mini), user_balance (amount), game_stakes (amount), entry_source (home/rewards/notification). Purpose: Monitor gaming feature adoption, track engagement patterns, measure game conversion rates. Screens: GameViewModel, FireGameFragment. Scenarios: Regular gameplay start, promotional game access, balance-driven gaming."
"monies_redeem_cta_clicked","Cashback redemption initiation event. Triggered when: 1) User clicks redeem button for available cashback, 2) Quick redeem options are selected, 3) Bulk redemption is initiated. Properties: redemption_amount (string), available_balance (string), redemption_type (quick/full/partial), source_screen (home/rewards/notification). Purpose: Track redemption behavior, measure cashback utilization rates, identify optimal redemption amounts. Screens: RewardsRedemptionFragment, MoniesViewModel. Scenarios: Full balance redemption, partial withdrawals, promotional redemptions."
"app_phone_authentication","Phone number authentication event. Triggered when: 1) User enters phone number during login/signup, 2) Phone verification is initiated via OTP, 3) SIM-based authentication is attempted. Properties: auth_method (otp/sim), phone_number_length (int), is_new_user (boolean), verification_type (manual/auto), country_code (string). Purpose: Track authentication success rates, monitor fraud patterns, optimize verification flows. Screens: AuthenticationFragment, PhoneVerificationViewModel. Scenarios: New user signup, existing user login, account recovery, SIM change verification."
"google_mail_login_clicked","Google authentication selection event. Triggered when: 1) User selects Google login option from auth screen, 2) Gmail account picker is opened, 3) Google OAuth flow is initiated. Properties: is_first_time (boolean), has_existing_account (boolean), auth_source (login/signup), previous_auth_method (phone/email/none). Purpose: Track OAuth adoption, measure authentication preferences, optimize multi-auth flows. Screens: LoginFragment, AuthSelectionViewModel. Scenarios: Quick login preference, new user onboarding, account linking."
"name_enter_page_opened","User name entry screen access event. Triggered when: 1) Name input screen is displayed during onboarding, 2) Profile name update flow is initiated, 3) KYC name verification process begins. Properties: flow_type (onboarding/profile_update/kyc), is_pre_filled (boolean), source_screen (auth/profile/verification), step_number (int). Purpose: Track onboarding completion rates, monitor name verification success, optimize user data collection. Screens: NameEntryFragment, OnboardingViewModel. Scenarios: Initial onboarding, profile completion, KYC requirements, name corrections."
"email_enter_page_opened","Email input screen access event. Triggered when: 1) Email entry screen is displayed during registration, 2) Email update flow in profile, 3) Business email verification for merchants. Properties: flow_type (personal/business), is_pre_filled (boolean), source (onboarding/profile/kyc), validation_required (boolean). Purpose: Track email collection rates, monitor business user onboarding, optimize data capture flows. Screens: EmailEntryFragment, ProfileViewModel. Scenarios: Personal account setup, business account creation, profile updates." 
"Event Name","Event Description"
"fire_result_page_opened","Game result screen analytics event. Triggered when: 1) User completes Fire/Bonfire games in Rewards module, 2) Game result screen is displayed to user, 3) After getting leaderboard rank for Bonfire games. Properties: status (win/fail/leader), create_bonfire_cta (boolean), payment_type (fire/bonfire), cross_enabled (boolean), flow_type (source flow). Purpose: Track game completion rates, user engagement with results, effectiveness of different game types. Screens: GameResultFragment, GameResultViewModel.handleFireGameResult(). Scenarios: Regular Fire game completion, Bonfire game with leaderboard, retry scenarios after loss."
"sim_binding_initiation","SIM binding initiation analytics event (equivalent to sim_binding_request). Triggered when: 1) Device binding API request is initiated after user SIM selection, 2) Automatic retry attempts are made for failed binding requests, 3) Re-initiation of binding process due to SIM change/toggle/network issues. Properties: product (UPI/MINI/SLICE), flow (authentication flow), reinitiate (boolean), is_auto_retry (boolean), is_show_error (boolean), reason (failure reason). Purpose: Track SIM binding success rates, identify failure patterns, monitor security verification flow. Screens: BindingSetupViewModel, SIM selection flows. Scenarios: Initial binding during auth, retry attempts, SIM switching, network failures."
"monies_page_opened","Rewards/Cashback main page access event. Triggered when: 1) User opens Rewards tab from bottom navigation, 2) Direct navigation to cashback section, 3) Deep link access to rewards page. Properties: user_has_cashback (boolean), total_cashback_amount (string), has_pending_games (boolean), source (tab/deeplink/notification). Purpose: Track rewards engagement, measure cashback visibility impact, understand user interest in gaming features. Screens: MoniesFragment, RewardsHomeViewModel. Scenarios: Regular tab access, post-transaction rewards check, notification-driven access."
"game_started","Game initiation tracking event. Triggered when: 1) User clicks 'Play' button on Fire game, 2) Bonfire game session begins, 3) Mini-games within rewards are launched. Properties: game_type (fire/bonfire/mini), user_balance (amount), game_stakes (amount), entry_source (home/rewards/notification). Purpose: Monitor gaming feature adoption, track engagement patterns, measure game conversion rates. Screens: GameViewModel, FireGameFragment. Scenarios: Regular gameplay start, promotional game access, balance-driven gaming."
"monies_redeem_cta_clicked","Cashback redemption initiation event. Triggered when: 1) User clicks redeem button for available cashback, 2) Quick redeem options are selected, 3) Bulk redemption is initiated. Properties: redemption_amount (string), available_balance (string), redemption_type (quick/full/partial), source_screen (home/rewards/notification). Purpose: Track redemption behavior, measure cashback utilization rates, identify optimal redemption amounts. Screens: RewardsRedemptionFragment, MoniesViewModel. Scenarios: Full balance redemption, partial withdrawals, promotional redemptions."
"app_phone_authentication","Phone number authentication event. Triggered when: 1) User enters phone number during login/signup, 2) Phone verification is initiated via OTP, 3) SIM-based authentication is attempted. Properties: auth_method (otp/sim), phone_number_length (int), is_new_user (boolean), verification_type (manual/auto), country_code (string). Purpose: Track authentication success rates, monitor fraud patterns, optimize verification flows. Screens: AuthenticationFragment, PhoneVerificationViewModel. Scenarios: New user signup, existing user login, account recovery, SIM change verification."
"google_mail_login_clicked","Google authentication selection event. Triggered when: 1) User selects Google login option from auth screen, 2) Gmail account picker is opened, 3) Google OAuth flow is initiated. Properties: is_first_time (boolean), has_existing_account (boolean), auth_source (login/signup), previous_auth_method (phone/email/none). Purpose: Track OAuth adoption, measure authentication preferences, optimize multi-auth flows. Screens: LoginFragment, AuthSelectionViewModel. Scenarios: Quick login preference, new user onboarding, account linking."
"name_enter_page_opened","User name entry screen access event. Triggered when: 1) Name input screen is displayed during onboarding, 2) Profile name update flow is initiated, 3) KYC name verification process begins. Properties: flow_type (onboarding/profile_update/kyc), is_pre_filled (boolean), source_screen (auth/profile/verification), step_number (int). Purpose: Track onboarding completion rates, monitor name verification success, optimize user data collection. Screens: NameEntryFragment, OnboardingViewModel. Scenarios: Initial onboarding, profile completion, KYC requirements, name corrections."
"otp_page_opened","OTP verification screen display event. Triggered when: 1) SMS OTP screen is shown to user, 2) Phone verification step is reached, 3) Re-authentication requires OTP. Properties: otp_type (sms/call/auto), phone_number_masked (string), retry_count (int), flow_context (login/signup/verification), auto_read_enabled (boolean). Purpose: Track verification completion rates, monitor OTP delivery issues, optimize authentication UX. Screens: OTPFragment, VerificationViewModel. Scenarios: Initial verification, retry attempts, auto-fill scenarios, manual entry."
"email_enter_page_opened","Email input screen access event. Triggered when: 1) Email entry screen is displayed during registration, 2) Email update flow in profile, 3) Business email verification for merchants. Properties: flow_type (personal/business), is_pre_filled (boolean), source (onboarding/profile/kyc), validation_required (boolean). Purpose: Track email collection rates, monitor business user onboarding, optimize data capture flows. Screens: EmailEntryFragment, ProfileViewModel. Scenarios: Personal account setup, business account creation, profile updates."
"sim_binding_request","SIM binding API request tracking event. Triggered when: 1) Device binding API call is made after SIM selection, 2) Automatic retry for failed binding attempts, 3) Re-binding due to SIM changes or network issues. Properties: product (UPI/MINI/SLICE), flow (auth flow type), reinitiate (boolean), is_auto_retry (boolean), is_show_error (boolean), is_sim_binding_skipped (boolean), reason (failure reason). Purpose: Monitor SIM binding success rates, track security verification effectiveness, identify failure patterns for fraud prevention. Screens: BindingSetupViewModel.initiateDeviceBinding(). Scenarios: Initial device binding, retry attempts, SIM switching, network failures, manual re-initiation."
"sim_binding_response","SIM binding API response tracking event. Triggered when: 1) Device binding API response is received (success/failure), 2) Binding validation completes, 3) Security verification result is processed. Properties: product (UPI/MINI/SLICE), flow (authentication flow), is_success (boolean), error_code (string), response_time_ms (long), binding_status (bound/failed/pending). Purpose: Monitor API performance, track binding success rates, identify technical issues in security verification. Screens: BindingSetupViewModel response handlers. Scenarios: Successful binding completion, API failures, timeout scenarios, security validation errors."
